,0
Age,int64
Sex,int64
Height,int64
Weight,int64
QRS_duration,int64
P-R_interval,int64
Q-T_interval,int64
T_interval,int64
P_interval,int64
QRS,int64
T,float64
P,float64
QRST,float64
Heart_rate,float64
Q_wave,int64
R_wave,int64
S_wave,int64
R'_wave,int64
S'_wave,int64
Number_of_intrinsic_deflections,int64
Existence_of_ragged_R_wave,int64
Existence_of_diphasic_derivation_of_R_wave,int64
Existence_of_ragged_P_wave,int64
Existence_of_diphasic_derivation_of_P_wave,int64
Existence_of_ragged_T_wave,int64
Existence_of_diphasic_derivation_of_T_wave,int64
DII_0,int64
DII_1,int64
DII_2,int64
DII_3,int64
DII_4,int64
DII_5,int64
DII_6,int64
DII_7,int64
DII_8,int64
DII_9,int64
DII_10,int64
DII_11,int64
DIII_0,int64
DIII_1,int64
DIII_2,int64
DIII_3,int64
DIII_4,int64
DIII_5,int64
DIII_6,int64
DIII_7,int64
DIII_8,int64
DIII_9,int64
DIII_10,int64
DIII_11,int64
AVR_0,int64
AVR_1,int64
AVR_2,int64
AVR_3,int64
AVR_4,int64
AVR_5,int64
AVR_6,int64
AVR_7,int64
AVR_8,int64
AVR_9,int64
AVR_10,int64
AVR_11,int64
AVL_0,int64
AVL_1,int64
AVL_2,int64
AVL_3,int64
AVL_4,int64
AVL_5,int64
AVL_6,int64
AVL_7,int64
AVL_8,int64
AVL_9,int64
AVL_10,int64
AVL_11,int64
AVF_0,int64
AVF_1,int64
AVF_2,int64
AVF_3,int64
AVF_4,int64
AVF_5,int64
AVF_6,int64
AVF_7,int64
AVF_8,int64
AVF_9,int64
AVF_10,int64
AVF_11,int64
V1_0,int64
V1_1,int64
V1_2,int64
V1_3,int64
V1_4,int64
V1_5,int64
V1_6,int64
V1_7,int64
V1_8,int64
V1_9,int64
V1_10,int64
V1_11,int64
V2_0,int64
V2_1,int64
V2_2,int64
V2_3,int64
V2_4,int64
V2_5,int64
V2_6,int64
V2_7,int64
V2_8,int64
V2_9,int64
V2_10,int64
V2_11,int64
V3_0,int64
V3_1,int64
V3_2,int64
V3_3,int64
V3_4,int64
V3_5,int64
V3_6,int64
V3_7,int64
V3_8,int64
V3_9,int64
V3_10,int64
V3_11,int64
V4_0,int64
V4_1,int64
V4_2,int64
V4_3,int64
V4_4,int64
V4_5,int64
V4_6,int64
V4_7,int64
V4_8,int64
V4_9,int64
V4_10,int64
V4_11,int64
V5_0,int64
V5_1,int64
V5_2,int64
V5_3,int64
V5_4,int64
V5_5,int64
V5_6,int64
V5_7,int64
V5_8,int64
V5_9,int64
V5_10,int64
V5_11,int64
V6_0,int64
V6_1,int64
V6_2,int64
V6_3,int64
V6_4,int64
V6_5,int64
V6_6,int64
V6_7,int64
V6_8,int64
V6_9,int64
V6_10,int64
V6_11,int64
JJ_wave,float64
Q_wave_2,float64
R_wave_2,float64
S_wave_2,float64
R'_wave_2,float64
S'_wave_2,float64
P_wave_2,float64
T_wave_2,float64
QRSA,float64
QRSTA,float64
DII_2_0,float64
DII_2_1,float64
DII_2_2,float64
DII_2_3,float64
DII_2_4,float64
DII_2_5,float64
DII_2_6,float64
DII_2_7,float64
DII_2_8,float64
DII_2_9,float64
DIII_2_0,float64
DIII_2_1,float64
DIII_2_2,float64
DIII_2_3,float64
DIII_2_4,float64
DIII_2_5,float64
DIII_2_6,float64
DIII_2_7,float64
DIII_2_8,float64
DIII_2_9,float64
AVR_2_0,float64
AVR_2_1,float64
AVR_2_2,float64
AVR_2_3,float64
AVR_2_4,float64
AVR_2_5,float64
AVR_2_6,float64
AVR_2_7,float64
AVR_2_8,float64
AVR_2_9,float64
AVL_2_0,float64
AVL_2_1,float64
AVL_2_2,float64
AVL_2_3,float64
AVL_2_4,float64
AVL_2_5,float64
AVL_2_6,float64
AVL_2_7,float64
AVL_2_8,float64
AVL_2_9,float64
AVF_2_0,float64
AVF_2_1,float64
AVF_2_2,float64
AVF_2_3,float64
AVF_2_4,float64
AVF_2_5,float64
AVF_2_6,float64
AVF_2_7,float64
AVF_2_8,float64
AVF_2_9,float64
V1_2_0,float64
V1_2_1,float64
V1_2_2,float64
V1_2_3,float64
V1_2_4,float64
V1_2_5,float64
V1_2_6,float64
V1_2_7,float64
V1_2_8,float64
V1_2_9,float64
V2_2_0,float64
V2_2_1,float64
V2_2_2,float64
V2_2_3,float64
V2_2_4,float64
V2_2_5,float64
V2_2_6,float64
V2_2_7,float64
V2_2_8,float64
V2_2_9,float64
V3_2_0,float64
V3_2_1,float64
V3_2_2,float64
V3_2_3,float64
V3_2_4,float64
V3_2_5,float64
V3_2_6,float64
V3_2_7,float64
V3_2_8,float64
V3_2_9,float64
V4_2_0,float64
V4_2_1,float64
V4_2_2,float64
V4_2_3,float64
V4_2_4,float64
V4_2_5,float64
V4_2_6,float64
V4_2_7,float64
V4_2_8,float64
V4_2_9,float64
V5_2_0,float64
V5_2_1,float64
V5_2_2,float64
V5_2_3,float64
V5_2_4,float64
V5_2_5,float64
V5_2_6,float64
V5_2_7,float64
V5_2_8,float64
V5_2_9,float64
V6_2_0,float64
V6_2_1,float64
V6_2_2,float64
V6_2_3,float64
V6_2_4,float64
V6_2_5,float64
V6_2_6,float64
V6_2_7,float64
V6_2_8,float64
V6_2_9,float64
sicknes,int64
